time1,Irradiance,time2,Direct radiation,time3,Diffuse radiation,time4,WindSpeed,time5,WindDirection,time6,Temperature,time7,Humidity,time8,Pressure,time9,ComponentTemp,time10,P1
2024/1/1 0:00,0,2024/1/1 0:00,0,2024/1/1 0:00,0,2024/1/1 0:00,4.9,2024/1/1 0:00,0,2024/1/1 0:00,8.4,2024/1/1 0:00,59.2,2024/1/1 0:00,1022,2024/1/1 0:00,7.9,2024/1/1 0:00,0
2024/1/1 0:10,0,2024/1/1 0:10,0,2024/1/1 0:10,0,2024/1/1 0:10,5,2024/1/1 0:10,0,2024/1/1 0:10,8.5,2024/1/1 0:10,58.3,2024/1/1 0:10,1022,2024/1/1 0:10,8,2024/1/1 0:10,0
2024/1/1 0:20,0,2024/1/1 0:20,0,2024/1/1 0:20,0,2024/1/1 0:20,4.3,2024/1/1 0:20,0,2024/1/1 0:20,8.5,2024/1/1 0:20,58.5,2024/1/1 0:20,1021.9,2024/1/1 0:20,7.9,2024/1/1 0:20,0
2024/1/1 0:30,0,2024/1/1 0:30,0,2024/1/1 0:30,0,2024/1/1 0:30,3.5,2024/1/1 0:30,0,2024/1/1 0:30,8.4,2024/1/1 0:30,58.3,2024/1/1 0:30,1022.1,2024/1/1 0:30,7.8,2024/1/1 0:30,0
2024/1/1 0:40,0,2024/1/1 0:40,0,2024/1/1 0:40,0,2024/1/1 0:40,4.7,2024/1/1 0:40,0,2024/1/1 0:40,8.3,2024/1/1 0:40,58.7,2024/1/1 0:40,1022.1,2024/1/1 0:40,7.6,2024/1/1 0:40,0
2024/1/1 0:50,0,2024/1/1 0:50,0,2024/1/1 0:50,0,2024/1/1 0:50,3.6,2024/1/1 0:50,0,2024/1/1 0:50,8.2,2024/1/1 0:50,59.1,2024/1/1 0:50,1022.1,2024/1/1 0:50,7.6,2024/1/1 0:50,0
2024/1/1 1:00,0,2024/1/1 1:00,0,2024/1/1 1:00,0,2024/1/1 1:00,4.3,2024/1/1 1:00,0,2024/1/1 1:00,8.2,2024/1/1 1:00,58.9,2024/1/1 1:00,1021.8,2024/1/1 1:00,7.6,2024/1/1 1:00,0
2024/1/1 1:10,0,2024/1/1 1:10,0,2024/1/1 1:10,0,2024/1/1 1:10,3.6,2024/1/1 1:10,0,2024/1/1 1:10,8.1,2024/1/1 1:10,59.9,2024/1/1 1:10,1022,2024/1/1 1:10,7.5,2024/1/1 1:10,0
2024/1/1 1:20,0,2024/1/1 1:20,0,2024/1/1 1:20,0,2024/1/1 1:20,1.9,2024/1/1 1:20,0,2024/1/1 1:20,8,2024/1/1 1:20,60.1,2024/1/1 1:20,1022,2024/1/1 1:20,7.3,2024/1/1 1:20,0
2024/1/1 1:30,0,2024/1/1 1:30,0,2024/1/1 1:30,0,2024/1/1 1:30,1.4,2024/1/1 1:30,0,2024/1/1 1:30,7.8,2024/1/1 1:30,60.9,2024/1/1 1:30,1022,2024/1/1 1:30,7,2024/1/1 1:30,0
2024/1/1 1:40,0,2024/1/1 1:40,0,2024/1/1 1:40,0,2024/1/1 1:40,2.4,2024/1/1 1:40,0,2024/1/1 1:40,7.6,2024/1/1 1:40,61.2,2024/1/1 1:40,1022.1,2024/1/1 1:40,6.8,2024/1/1 1:40,0
2024/1/1 1:50,0,2024/1/1 1:50,0,2024/1/1 1:50,0,2024/1/1 1:50,1.5,2024/1/1 1:50,0,2024/1/1 1:50,7.3,2024/1/1 1:50,62.8,2024/1/1 1:50,1022.1,2024/1/1 1:50,6.6,2024/1/1 1:50,0
2024/1/1 2:00,0,2024/1/1 2:00,0,2024/1/1 2:00,0,2024/1/1 2:00,0.7,2024/1/1 2:00,0,2024/1/1 2:00,7.2,2024/1/1 2:00,63.5,2024/1/1 2:00,1022.2,2024/1/1 2:00,6.2,2024/1/1 2:00,0
2024/1/1 2:10,0,2024/1/1 2:10,0,2024/1/1 2:10,0,2024/1/1 2:10,0.8,2024/1/1 2:10,0,2024/1/1 2:10,6.9,2024/1/1 2:10,64.4,2024/1/1 2:10,1022.1,2024/1/1 2:10,6,2024/1/1 2:10,0
2024/1/1 2:20,0,2024/1/1 2:20,0,2024/1/1 2:20,0,2024/1/1 2:20,0.5,2024/1/1 2:20,0,2024/1/1 2:20,6.6,2024/1/1 2:20,65.5,2024/1/1 2:20,1022,2024/1/1 2:20,5.7,2024/1/1 2:20,0
2024/1/1 2:30,0,2024/1/1 2:30,0,2024/1/1 2:30,0,2024/1/1 2:30,2.6,2024/1/1 2:30,0,2024/1/1 2:30,6.5,2024/1/1 2:30,66,2024/1/1 2:30,1021.6,2024/1/1 2:30,6,2024/1/1 2:30,0
2024/1/1 2:40,0,2024/1/1 2:40,0,2024/1/1 2:40,0,2024/1/1 2:40,0.8,2024/1/1 2:40,0,2024/1/1 2:40,6.6,2024/1/1 2:40,66,2024/1/1 2:40,1021.9,2024/1/1 2:40,5.8,2024/1/1 2:40,0
2024/1/1 2:50,0,2024/1/1 2:50,0,2024/1/1 2:50,0,2024/1/1 2:50,0.5,2024/1/1 2:50,0,2024/1/1 2:50,6.6,2024/1/1 2:50,65.2,2024/1/1 2:50,1022.1,2024/1/1 2:50,5.8,2024/1/1 2:50,0
2024/1/1 3:00,0,2024/1/1 3:00,0,2024/1/1 3:00,0,2024/1/1 3:00,2.2,2024/1/1 3:00,0,2024/1/1 3:00,6.5,2024/1/1 3:00,65.1,2024/1/1 3:00,1022.1,2024/1/1 3:00,5.7,2024/1/1 3:00,0
2024/1/1 3:10,0,2024/1/1 3:10,0,2024/1/1 3:10,0,2024/1/1 3:10,1.7,2024/1/1 3:10,0,2024/1/1 3:10,6.5,2024/1/1 3:10,64.6,2024/1/1 3:10,1022.1,2024/1/1 3:10,5.8,2024/1/1 3:10,0
2024/1/1 3:20,0,2024/1/1 3:20,0,2024/1/1 3:20,0,2024/1/1 3:20,2.6,2024/1/1 3:20,0,2024/1/1 3:20,6.4,2024/1/1 3:20,65.4,2024/1/1 3:20,1021.9,2024/1/1 3:20,5.6,2024/1/1 3:20,0
2024/1/1 3:30,0,2024/1/1 3:30,0,2024/1/1 3:30,0,2024/1/1 3:30,3.1,2024/1/1 3:30,0,2024/1/1 3:30,6.6,2024/1/1 3:30,64.6,2024/1/1 3:30,1021.5,2024/1/1 3:30,5.9,2024/1/1 3:30,0
2024/1/1 3:40,0,2024/1/1 3:40,0,2024/1/1 3:40,0,2024/1/1 3:40,3.1,2024/1/1 3:40,0,2024/1/1 3:40,6.7,2024/1/1 3:40,63.9,2024/1/1 3:40,1021.5,2024/1/1 3:40,6,2024/1/1 3:40,0
2024/1/1 3:50,0,2024/1/1 3:50,0,2024/1/1 3:50,0,2024/1/1 3:50,3.3,2024/1/1 3:50,0,2024/1/1 3:50,6.7,2024/1/1 3:50,62.9,2024/1/1 3:50,1021.3,2024/1/1 3:50,6,2024/1/1 3:50,0
