time1,Cumulative total radiation,time2,Average total irradiance,time3,Total radiation on inclined surface,time4,WindSpeed,time5,Temprature,time6,Pressure,time7,Humidity,time8,BackTemp,time9,CSI200F-P1
2025/2/17 11:50,0.6,2025/1/1 0:00,0,2025/2/17 11:50,93,2025/1/1 0:00,0,2025/1/1 0:00,2.8,2025/1/1 0:00,1021.5,2025/1/1 0:00,90.7,2025/1/1 0:00,-1.6,2025/1/1 0:00,-0.3481
2025/2/17 11:55,0.63,2025/1/1 0:05,0,2025/2/17 11:55,78,2025/1/1 0:05,0,2025/1/1 0:05,2.5,2025/1/1 0:05,1021.5,2025/1/1 0:05,92.5,2025/1/1 0:05,-1.7,2025/1/1 0:05,-0.3481
2025/2/17 12:00,0.65,2025/1/1 0:10,0,2025/2/17 12:00,84,2025/1/1 0:10,0,2025/1/1 0:10,2.3,2025/1/1 0:10,1021.4,2025/1/1 0:10,93.9,2025/1/1 0:10,-2,2025/1/1 0:10,-0.3481
2025/2/17 12:05,0.67,2025/1/1 0:15,0,2025/2/17 12:05,84,2025/1/1 0:15,0,2025/1/1 0:15,2,2025/1/1 0:15,1021.3,2025/1/1 0:15,95.4,2025/1/1 0:15,-1.9,2025/1/1 0:15,-0.3481
2025/2/17 12:10,0.7,2025/1/1 0:20,0,2025/2/17 12:10,102,2025/1/1 0:20,0,2025/1/1 0:20,1.9,2025/1/1 0:20,1021.3,2025/1/1 0:20,87.6,2025/1/1 0:20,-2.1,2025/1/1 0:20,-0.3481
2025/2/17 12:15,0.73,2025/1/1 0:25,0,2025/2/17 12:15,92,2025/1/1 0:25,0,2025/1/1 0:25,2,2025/1/1 0:25,1021.3,2025/1/1 0:25,94.9,2025/1/1 0:25,-2.3,2025/1/1 0:25,-0.3481
2025/2/17 12:20,0.76,2025/1/1 0:30,0,2025/2/17 12:20,100,2025/1/1 0:30,0,2025/1/1 0:30,1.9,2025/1/1 0:30,1021.3,2025/1/1 0:30,98.8,2025/1/1 0:30,-2.4,2025/1/1 0:30,-0.3481
2025/2/17 12:25,0.79,2025/1/1 0:35,0,2025/2/17 12:25,104,2025/1/1 0:35,0,2025/1/1 0:35,1.8,2025/1/1 0:35,1021.3,2025/1/1 0:35,96.5,2025/1/1 0:35,-2.5,2025/1/1 0:35,-0.3481
2025/2/17 12:30,0.82,2025/1/1 0:40,0,2025/2/17 12:30,107,2025/1/1 0:40,0.4,2025/1/1 0:40,1.8,2025/1/1 0:40,1021.2,2025/1/1 0:40,88.7,2025/1/1 0:40,-2.5,2025/1/1 0:40,-0.3481
2025/2/17 12:35,0.85,2025/1/1 0:45,0,2025/2/17 12:35,98,2025/1/1 0:45,0,2025/1/1 0:45,2.3,2025/1/1 0:45,1021.2,2025/1/1 0:45,89.4,2025/1/1 0:45,-2.2,2025/1/1 0:45,-0.3481
2025/2/17 12:40,0.88,2025/1/1 0:50,0,2025/2/17 12:40,95,2025/1/1 0:50,0,2025/1/1 0:50,2.3,2025/1/1 0:50,1021.1,2025/1/1 0:50,95.7,2025/1/1 0:50,-2.2,2025/1/1 0:50,-0.3481
