time,pv_power,radiation,windspeed,env_temperature,pressure,humidity,component_temperature,mark
2024-12-22 17:35:00,0.0,0.0,2.1,3.7,1024.2001,45.3,3.1,0
2024-03-01 13:40:00,18.2229,110.2,0.8,6.3,1024.7,79.6,5.1,-2
2024-09-01 12:30:00,90.8131,814.15,3.3,40.1,1001.2,50.5,40.5,0
2024-12-02 23:15:00,0.0,0.0,4.3,16.0,1013.1,64.3,15.5,0
2024-11-15 05:00:00,0.0,0.0,1.0,19.3,1008.2,86.1,18.7,0
2024-07-27 08:30:00,20.6348,172.9,1.5,31.2,993.8,78.0,31.6,0
2024-02-20 17:20:00,0.7035,0.0,5.0,3.4,1008.0,93.7,2.5,-2
2024-08-22 01:30:00,0.0,0.0,1.2,29.5,998.8,80.5,28.7,0
2024-11-08 01:15:00,0.0,0.0,0.0,14.5,1018.2,77.2,14.5,0
2024-07-17 13:40:00,84.08,857.85,3.3,39.1,998.3,56.2,42.7,0
2024-11-22 17:40:00,0.0,0.0,4.9,10.7,1020.6,94.4,9.9,0
2024-08-11 10:20:00,77.6484,671.65,1.5,37.7,996.4,56.3,43.9,0
2024-12-13 12:25:00,27.8033,265.05,6.8,9.7,1026.4,50.8,9.3,0
2024-09-13 17:40:00,3.1153,27.55,2.8,27.4,1000.6,77.9,26.9,0
2024-12-04 21:30:00,0.0,0.0,1.9,8.2,1019.6,91.1,7.1,0
2024-03-05 07:10:00,0.0,0.0,2.4,8.5,1007.3,87.0,7.4,0
2024-09-28 05:40:00,0.0,0.0,0.0,22.3,1004.6,91.1,21.1,0
2024-09-02 22:10:00,0.0,0.0,1.7,30.1,1003.8,82.2,29.5,0
2024-03-22 21:30:00,0.0,0.0,0.0,22.0,997.1,77.5,20.9,0
2024-11-11 22:55:00,0.0,0.0,0.0,16.8,1013.9,85.3,17.4,0
2024-12-30 00:55:00,0.0,0.0,0.7,9.0,1016.6,60.1,8.2,0
2024-06-05 01:00:00,0.0,0.0,0.3,19.0,1008.7,94.0,17.9,0
2024-05-13 14:10:00,68.9054,767.6,1.4,33.8,1008.8,37.8,34.0,0
2024-09-26 16:10:00,15.9116,170.05,1.2,33.7,1004.5,40.9,33.7,0
2024-04-26 02:00:00,0.0,0.0,0.7,19.5,999.2,100.0,18.5,0
2024-06-10 17:50:00,14.9736,148.2,2.2,27.8,999.0,79.1,27.7,0
2024-10-24 13:20:00,55.8747,693.5,1.2,25.5,1011.9,50.5,24.1,0
2024-11-20 04:20:00,0.0,0.0,4.9,10.7,1020.6,94.4,9.9,0
2024-12-29 11:00:00,48.2036,487.35,1.5,10.9,1021.7,37.9,8.6,0
2024-08-26 23:50:00,0.0,0.0,1.5,31.8,996.8,75.8,31.0,0
2024-07-31 11:50:00,84.5825,760.95,2.8,37.8,997.4,58.8,42.9,0
2024-05-25 17:30:00,25.9275,268.85,2.6,36.7,997.4,51.4,36.4,0
2024-10-11 05:10:00,0.0,0.0,0.0,17.8,1010.1,87.5,18.5,0
2024-01-15 02:40:00,0.0,0.0,4.5,8.7,1024.6,63.0,8.1,0
2024-12-14 21:45:00,0.0,0.0,0.3,3.2,1028.5,68.5,3.4,0
2024-11-22 13:05:00,0.0,0.0,4.9,10.7,1020.6,94.4,9.9,0
2024-08-01 05:20:00,0.0,0.0,0.8,27.2,996.1,93.0,26.2,0
2024-11-18 13:20:00,0.0,0.0,4.9,10.7,1020.6,94.4,9.9,0
2024-11-16 06:05:00,0.0,0.0,1.4,19.5,1010.0,87.7,19.0,0
2024-04-11 10:20:00,16.1795,117.8,1.7,20.6,1012.0,86.3,20.1,0
2024-09-22 03:10:00,0.0,0.0,5.6,21.4,1011.2,64.9,20.8,0
2024-10-30 23:00:00,0.0,0.0,0.3,15.5,1011.7,83.4,16.4,0
2024-12-22 02:15:00,0.0,0.0,7.1,4.7,1027.2001,46.6,4.3,0
2024-12-02 16:50:00,5.6947,43.7,0.7,19.1,1009.7,67.5,19.2,0
2024-05-16 12:50:00,84.0465,888.25,3.3,32.4,1009.7,45.4,32.9,0
2024-07-11 07:00:00,6.3646,53.2,1.0,27.1,997.8,88.3,26.6,0
2024-10-15 02:00:00,0.0,0.0,0.0,17.7,1010.5,95.8,16.8,0
2024-09-23 09:00:00,35.2064,481.65,3.1,24.0,1014.0,52.9,28.6,0
2024-08-03 02:40:00,0.0,0.0,0.5,29.3,997.5,85.6,28.3,0
2024-11-11 12:15:00,65.9911,611.8,0.8,25.9,1014.4,56.7,24.1,0
2024-12-05 05:35:00,0.0,0.0,0.0,7.6,1018.1,94.9,6.6,0
2024-08-19 07:40:00,21.8072,225.15,1.4,28.6,998.6,84.8,31.0,0
2024-05-22 14:20:00,58.6215,690.65,1.5,31.7,1004.9,53.9,32.4,0
2024-10-24 13:10:00,52.0559,688.75,1.9,24.5,1012.2,50.2,23.2,0
