time,pv_power,radiation,windspeed,env_temperature,pressure,humidity,back_temperature
2025-02-17 11:50:00,33.4598,93,1.9,8.6,1025.9,64.0,9.1
2025-02-17 11:55:00,32.5236,78,2.1,8.7,1025.9,63.7,9.2
2025-02-17 12:00:00,33.1516,84,2.6,8.8,1026.0,66.2,8.9
2025-02-17 12:05:00,33.1516,84,1.1,8.7,1025.9,63.0,8.8
2025-02-17 12:10:00,34.4043,102,2.5,8.7,1025.7001,63.4,8.7
2025-02-17 12:15:00,34.0584,92,3.6,8.6,1025.6,65.6,8.2
2025-02-17 12:20:00,34.3677,100,2.7,8.4,1025.6,67.3,7.6
2025-02-17 12:25:00,34.9892,104,0.7,8.3,1025.6,74.6,7.8
2025-02-17 12:30:00,34.9892,107,1.6,8.2,1025.6,73.4,8.0
2025-02-17 12:35:00,34.1783,98,0.9,8.3,1025.7001,73.9,8.1
2025-02-17 12:40:00,34.2351,95,1.7,8.2,1025.8,76.8,8.1
2025-02-17 12:45:00,33.5927,87,1.3,8.3,1025.8,74.8,8.2
2025-02-17 12:50:00,32.7776,77,0.5,8.4,1025.7001,73.7,8.4
2025-02-17 12:55:00,31.9764,70,1.3,8.5,1025.7001,77.3,8.3
2025-02-17 13:00:00,6.0954,66,2.3,8.3,1025.6,82.0,8.1
2025-02-17 13:05:00,6.8692,73,2.9,8.2,1025.6,86.3,8.0
2025-02-17 13:10:00,7.0134,75,2.3,7.9,1025.6,88.1,7.8
2025-02-17 13:15:00,7.3243,80,3.3,7.6,1025.5,88.6,7.4
2025-02-17 13:20:00,8.1184,87,3.2,7.3,1025.4,90.3,7.3
2025-02-17 13:25:00,9.0693,96,1.3,7.4,1025.3,90.3,7.4
2025-02-17 13:30:00,8.7589,92,2.5,7.5,1025.2001,89.6,7.5
2025-02-17 13:35:00,9.8575,105,1.1,7.4,1025.1,92.7,7.5
2025-02-17 13:40:00,10.325,111,2.0,7.4,1025.2001,93.6,7.8
2025-02-17 13:45:00,9.4301,99,1.9,7.2,1025.3,95.3,7.6
2025-02-17 13:50:00,7.2393,75,2.2,7.1,1025.3,96.1,7.4
2025-02-17 13:55:00,7.0837,76,2.2,7.0,1025.4,96.4,7.1
2025-02-17 14:00:00,7.7067,84,2.5,7.0,1025.4,97.0,7.2
2025-02-17 14:05:00,9.1218,94,0.8,6.9,1025.1,97.5,7.3
2025-02-17 14:10:00,9.7543,107,1.6,7.0,1025.0,98.3,7.7
2025-02-17 14:15:00,8.9711,97,1.7,7.1,1025.0,96.8,7.9
2025-02-17 14:20:00,9.6097,105,2.1,7.2,1024.9,97.3,7.8
2025-02-17 14:25:00,8.6666,94,0.7,7.2,1024.9,96.2,7.8
2025-02-17 14:30:00,8.6461,93,0.8,7.2,1024.9,97.7,7.9
2025-02-17 14:35:00,7.1526,104,1.0,7.2,1025.0,96.8,7.9
2025-02-17 14:40:00,7.1526,90,1.1,7.1,1025.0,98.3,8.1
2025-02-17 14:45:00,6.9992,89,0.7,7.1,1025.0,98.5,8.0
2025-02-17 14:50:00,6.9992,88,0.8,7.2,1025.1,98.1,8.1
2025-02-17 14:55:00,6.9992,95,1.7,7.2,1024.9,98.5,8.1
2025-02-17 15:00:00,7.1523,109,2.5,7.0,1024.7001,95.7,7.7
2025-02-17 15:05:00,6.8414,81,0.5,6.9,1024.7001,100.0,7.5
2025-02-17 15:10:00,6.8234,77,1.4,6.9,1024.8,100.0,7.6
2025-02-17 15:15:00,6.9766,81,1.2,7.0,1024.7001,99.6,7.6
2025-02-17 15:20:00,6.1895,68,1.8,7.0,1024.7001,98.4,7.4
2025-02-17 15:25:00,4.6231,54,2.4,7.0,1024.8,99.6,7.3
2025-02-17 15:30:00,3.8498,47,1.3,6.8,1024.9,100.0,6.9
2025-02-17 15:35:00,3.6969,43,2.0,6.7,1025.0,100.0,6.6
2025-02-17 15:40:00,3.2303,39,2.7,6.6,1025.1,100.0,6.4
2025-02-17 15:45:00,4.0315,46,2.5,6.6,1025.0,100.0,6.3
2025-02-17 15:50:00,4.3572,51,2.2,6.6,1025.0,100.0,6.4
2025-02-17 15:55:00,6.0875,65,1.7,6.5,1024.9,100.0,6.4
2025-02-17 16:00:00,3.6316,41,1.8,6.7,1025.0,99.1,6.7
2025-02-17 16:05:00,3.0107,36,2.1,6.6,1025.2001,100.0,6.5
2025-02-17 16:10:00,2.5447,31,1.9,6.6,1025.3,100.0,6.4
2025-02-17 16:15:00,3.4719,41,0.2,6.6,1025.2001,100.0,6.3
2025-02-17 16:20:00,3.1631,39,1.4,6.6,1024.8,100.0,6.4
2025-02-17 16:25:00,2.6927,34,1.3,6.6,1024.7001,100.0,6.4
2025-02-17 16:30:00,1.9032,0,2.0,6.5,1024.8,100.0,6.3
2025-02-17 16:35:00,3.5682,39,0.7,6.4,1024.9,100.0,6.1
2025-02-17 16:40:00,6.764,74,1.5,6.6,1024.7001,100.0,6.4
2025-02-17 16:45:00,4.4279,64,2.4,6.7,1024.7001,100.0,7.0
2025-02-17 16:50:00,2.0961,30,1.2,6.6,1025.0,100.0,6.6
2025-02-17 16:55:00,3.201,43,2.2,6.6,1024.8,100.0,6.4
2025-02-17 17:00:00,2.8804,37,1.0,6.6,1024.6,100.0,6.3
2025-02-17 17:05:00,1.4389,0,2.9,6.6,1024.8,100.0,6.1
2025-02-17 17:10:00,0.9698,0,1.5,6.5,1024.9,100.0,5.9
2025-02-17 17:15:00,0.8146,0,0.3,6.4,1025.0,100.0,5.7
2025-02-17 17:20:00,0.6621,0,1.4,6.4,1025.1,100.0,5.7
2025-02-17 17:25:00,0.5093,0,1.8,6.4,1025.3,100.0,5.7
2025-02-17 17:30:00,0.3539,0,1.8,6.4,1025.2001,100.0,5.7
2025-02-17 17:35:00,0.3539,0,2.3,6.4,1025.1,100.0,5.6
2025-02-17 17:40:00,0.3574,0,1.8,6.5,1025.0,100.0,5.6
2025-02-17 17:45:00,0.0,0,1.3,6.4,1025.1,100.0,5.6
2025-02-17 17:50:00,0.0,0,1.0,6.5,1025.0,100.0,5.6
2025-02-17 17:55:00,-0.1976,0,1.9,6.5,1025.2001,100.0,5.7
2025-02-17 18:00:00,-0.1976,0,1.7,6.5,1025.3,100.0,5.7
2025-02-17 18:05:00,-0.1976,0,1.3,6.5,1025.3,100.0,5.7
