time1,Instantaneous value of horizontal radiation,time2,Instantaneous value of inclined radiation,time3,Instantaneous value of scattered radiation,time4,Direct radiation instantaneous value,time5,WindSpeed,time6,WindDirection,time7,Temperature,time8,Pressure,time9,Humidity,time10,ComponentTemp,time11,P1
2024/1/1 17:30,0,2024/1/1 17:30,0,2024/1/1 17:30,0,2024/1/1 17:30,0,2024/1/1 17:30,0,2024/1/1 17:30,0,2024/1/1 17:30,0,2024/1/1 17:30,0,2024/1/1 17:30,0,2024/1/1 17:30,0,2024/1/1 17:30,0
2024/1/1 17:40,0,2024/1/1 17:40,0,2024/1/1 17:40,0,2024/1/1 17:40,0,2024/1/1 17:40,0,2024/1/1 17:40,0,2024/1/1 17:40,0,2024/1/1 17:40,0,2024/1/1 17:40,0,2024/1/1 17:40,0,2024/1/1 17:40,0
2024/1/1 17:50,0,2024/1/1 17:50,0,2024/1/1 17:50,0,2024/1/1 17:50,0,2024/1/1 17:50,0,2024/1/1 17:50,0,2024/1/1 17:50,0,2024/1/1 17:50,0,2024/1/1 17:50,0,2024/1/1 17:50,0,2024/1/1 17:50,0
2024/1/1 18:00,0,2024/1/1 18:00,0,2024/1/1 18:00,0,2024/1/1 18:00,0,2024/1/1 18:00,0,2024/1/1 18:00,0,2024/1/1 18:00,0,2024/1/1 18:00,0,2024/1/1 18:00,0,2024/1/1 18:00,0,2024/1/1 18:00,0
2024/1/1 18:10,0,2024/1/1 18:10,0,2024/1/1 18:10,0,2024/1/1 18:10,0,2024/1/1 18:10,0,2024/1/1 18:10,0,2024/1/1 18:10,0,2024/1/1 18:10,0,2024/1/1 18:10,0,2024/1/1 18:10,0,2024/1/1 18:10,0
2024/1/1 18:20,0,2024/1/1 18:20,0,2024/1/1 18:20,0,2024/1/1 18:20,0,2024/1/1 18:20,0,2024/1/1 18:20,0,2024/1/1 18:20,0,2024/1/1 18:20,0,2024/1/1 18:20,0,2024/1/1 18:20,0,2024/1/1 18:20,0
2024/1/1 18:30,0,2024/1/1 18:30,0,2024/1/1 18:30,0,2024/1/1 18:30,0,2024/1/1 18:30,0,2024/1/1 18:30,0,2024/1/1 18:30,0,2024/1/1 18:30,0,2024/1/1 18:30,0,2024/1/1 18:30,0,2024/1/1 18:30,0
2024/1/1 18:40,0,2024/1/1 18:40,0,2024/1/1 18:40,0,2024/1/1 18:40,0,2024/1/1 18:40,0,2024/1/1 18:40,0,2024/1/1 18:40,0,2024/1/1 18:40,0,2024/1/1 18:40,0,2024/1/1 18:40,0,2024/1/1 18:40,0
2024/1/1 18:50,0,2024/1/1 18:50,0,2024/1/1 18:50,0,2024/1/1 18:50,0,2024/1/1 18:50,0,2024/1/1 18:50,0,2024/1/1 18:50,0,2024/1/1 18:50,0,2024/1/1 18:50,0,2024/1/1 18:50,0,2024/1/1 18:50,0
2024/1/1 19:00,0,2024/1/1 19:00,0,2024/1/1 19:00,0,2024/1/1 19:00,0,2024/1/1 19:00,0,2024/1/1 19:00,0,2024/1/1 19:00,0,2024/1/1 19:00,0,2024/1/1 19:00,0,2024/1/1 19:00,0,2024/1/1 19:00,0
